obs,salario,feminino,nao_branco,sindicato,escolaridade,experiencia
774,19.239999771118164,0,0,0,18,9
775,10.100000381469728,0,0,0,12,30
776,9.529999732971191,0,0,0,12,13
777,9.350000381469728,0,0,1,12,17
778,7.0,0,1,0,12,18
779,31.86000061035156,0,0,0,12,31
780,12.5,1,0,1,12,34
781,28.850000381469727,1,0,0,16,10
782,8.0,1,0,0,12,9
783,12.18000030517578,0,0,1,16,9
784,5.0,0,0,0,11,14
785,7.25,1,0,0,12,20
786,18.0,1,0,0,16,17
787,8.0,0,0,1,12,12
788,8.0,0,0,1,12,10
789,16.0,1,0,0,16,12
790,8.649999618530273,0,0,0,12,22
791,14.489999771118164,0,0,1,12,33
792,3.75,1,0,0,12,31
793,7.5,0,0,0,16,4
794,9.0,1,0,0,12,0
795,3.5,0,1,0,12,4
796,27.5,0,1,1,12,30
797,20.0,0,0,0,12,11
798,12.0,1,1,1,12,24
799,3.75,1,1,1,0,56
800,45.0,1,0,0,18,16
801,6.0,1,0,0,9,13
802,21.149999618530277,1,0,0,20,3
803,16.829999923706055,0,1,0,16,14
804,8.050000190734863,0,0,0,14,24
805,22.21999931335449,0,0,0,16,15
806,3.0799999237060547,0,1,0,12,11
807,42.72999954223633,0,0,0,18,16
808,35.0,1,0,1,12,19
809,49.459999084472656,0,0,0,16,23
810,17.299999237060547,0,0,0,12,32
811,15.850000381469728,1,0,0,12,30
812,11.220000267028809,1,0,0,18,21
813,17.280000686645508,1,0,1,16,43
814,5.0,1,0,0,12,15
815,11.25,1,0,0,12,9
816,13.0,0,1,1,5,34
817,26.920000076293945,0,0,0,18,11
818,6.25,1,1,0,12,13
819,48.08000183105469,1,0,0,16,20
820,19.21999931335449,0,0,0,16,14
821,13.75,1,0,0,14,8
822,9.260000228881836,0,0,0,16,26
823,6.5,1,0,0,14,7
824,6.599999904632568,1,0,0,16,0
825,14.289999961853027,1,0,0,14,30
826,15.710000038146973,1,0,0,16,13
827,23.549999237060547,0,0,0,18,26
828,16.030000686645508,0,0,0,12,12
829,18.0,0,1,1,12,30
830,12.140000343322754,0,1,1,12,23
831,12.0,0,1,0,18,6
832,17.760000228881836,1,0,0,12,38
833,18.0,0,0,1,12,23
834,11.0,0,0,0,12,17
835,12.0,0,0,1,12,30
836,9.220000267028809,0,0,0,12,30
837,4.25,1,0,0,12,21
838,17.959999084472656,1,0,0,16,7
839,6.0,1,0,1,12,0
840,11.25,0,0,1,12,15
841,12.729999542236328,1,0,1,18,17
842,8.0,0,0,1,12,20
843,4.75,1,0,0,10,3
844,7.349999904632568,1,0,0,12,18
845,27.700000762939453,1,0,0,12,33
846,19.229999542236328,0,0,0,18,27
847,9.050000190734863,1,0,0,12,27
848,19.229999542236328,0,0,0,12,14
849,8.84000015258789,0,0,0,16,0
850,17.299999237060547,0,0,0,18,20
851,13.449999809265137,1,0,1,16,23
852,8.5,0,0,0,12,25
853,12.65999984741211,1,0,0,16,20
854,18.600000381469727,1,0,0,16,4
855,11.220000267028809,0,0,0,14,26
856,10.350000381469728,0,0,0,12,4
857,14.4399995803833,0,0,0,12,43
858,6.659999847412109,1,0,0,12,40
859,13.649999618530272,0,0,0,7,35
860,4.349999904632568,1,1,0,12,23
861,14.43000030517578,0,0,0,12,30
862,6.25,1,0,0,12,44
863,16.200000762939453,1,0,0,16,21
864,7.5,1,1,0,12,16
865,5.0,0,1,0,12,7
866,6.0,1,0,0,12,19
867,38.459999084472656,0,0,0,18,21
868,34.959999084472656,0,0,0,18,24
869,10.779999732971191,0,0,0,12,30
870,16.829999923706055,0,0,0,12,43
871,32.04999923706055,0,0,0,20,23
872,5.0,1,0,0,10,42
873,12.029999732971191,0,0,1,10,34
874,9.31999969482422,0,0,0,12,11
875,8.0,0,0,0,12,9
876,5.5,1,0,0,12,33
877,6.0,1,0,0,12,13
878,7.0,0,0,0,7,17
879,33.33000183105469,0,0,0,16,7
880,5.0,1,0,0,12,10
881,8.3100004196167,1,0,0,12,10
882,15.0,1,0,0,14,7
883,22.1299991607666,0,0,0,16,28
884,17.860000610351562,1,0,1,18,20
885,32.04999923706055,0,0,1,16,12
886,23.5,0,0,0,16,10
887,30.6200008392334,0,0,0,18,15
888,16.0,1,0,0,12,29
889,3.849999904632568,1,0,0,14,3
890,6.239999771118164,1,1,0,12,26
891,6.880000114440918,0,0,0,7,39
892,6.670000076293945,0,0,0,10,37
893,7.5,1,0,0,12,34
894,9.699999809265137,0,0,0,9,30
895,6.519999980926514,0,0,0,9,34
896,9.600000381469728,1,0,0,16,25
897,11.0,1,0,0,16,11
898,11.050000190734863,1,0,0,16,2
899,6.5,1,1,0,9,21
900,5.75,0,0,0,16,13
901,5.400000095367432,1,0,0,12,2
902,6.78000020980835,1,0,0,12,2
903,16.0,1,0,0,12,44
904,10.15999984741211,0,0,0,12,25
905,1.5,1,0,0,14,17
906,9.329999923706056,0,0,0,16,4
907,13.520000457763672,1,0,1,12,27
908,4.25,0,0,0,12,4
909,15.0,0,0,1,12,29
910,18.1299991607666,0,0,1,14,22
911,6.25,0,0,0,12,22
912,5.800000190734863,0,0,0,12,3
913,4.25,1,0,0,12,1
914,6.349999904632568,1,0,0,12,44
915,14.43000030517578,1,0,1,18,21
916,11.0,0,0,0,0,51
917,12.029999732971191,1,1,1,16,41
918,9.0,1,1,0,12,15
919,6.5,1,0,0,16,4
920,9.789999961853027,1,0,0,16,8
921,6.150000095367432,0,0,0,12,21
922,12.220000267028809,0,0,1,16,9
923,6.199999809265137,1,0,0,12,26
924,22.15999984741211,0,0,0,12,40
925,12.880000114440918,0,0,1,12,24
926,12.199999809265137,0,0,0,12,26
927,28.84000015258789,0,0,0,18,15
928,6.0,1,0,0,12,4
929,13.0,1,0,0,14,31
930,5.0,1,1,0,10,26
931,9.520000457763672,1,0,0,12,44
932,7.0,1,0,0,12,13
933,9.5,0,0,0,12,20
934,2.0,0,0,0,11,1
935,15.81999969482422,0,0,0,12,9
936,30.0,1,0,0,20,17
937,9.619999885559082,1,0,0,14,5
938,14.84000015258789,1,0,0,12,44
939,11.5,0,0,0,16,4
940,31.25,0,0,0,16,39
941,33.560001373291016,0,0,0,18,17
942,5.0,1,0,0,16,22
943,29.57999992370605,0,0,0,16,31
944,9.130000114440918,1,0,0,12,33
945,8.890000343322754,0,0,0,16,16
946,5.25,0,0,0,12,5
947,11.0,1,0,1,12,18
948,15.350000381469728,0,0,0,12,23
949,10.850000381469728,1,0,0,18,18
950,11.31999969482422,0,0,0,12,13
951,6.650000095367432,1,0,0,12,23
952,5.0,1,0,0,12,1
953,10.210000038146973,1,0,1,12,12
954,5.510000228881836,1,0,0,12,22
955,10.0,0,0,0,16,37
956,20.0,0,0,0,12,20
957,1.149999976158142,0,0,0,12,43
958,14.43000030517578,0,0,0,12,16
959,9.300000190734863,1,0,0,12,24
960,8.0,0,0,0,12,6
961,7.960000038146973,1,0,0,12,30
962,11.0,0,0,1,12,19
963,5.0,0,0,0,12,29
964,33.650001525878906,0,0,0,16,27
965,5.5,1,0,0,12,13
966,14.859999656677246,0,0,0,12,17
967,4.5,1,0,0,11,1
968,12.300000190734863,0,0,1,16,18
969,42.72999954223633,0,0,0,16,24
970,18.65999984741211,1,0,1,12,31
971,11.0,1,0,0,12,26
972,10.0,1,0,0,16,2
973,7.0,0,0,1,12,34
974,11.720000267028809,0,0,0,12,32
975,5.0,1,0,0,12,3
976,18.25,0,0,0,12,25
977,5.5,0,0,0,12,35
978,6.0,1,0,0,12,14
979,5.449999809265137,1,0,0,12,18
980,5.829999923706055,1,0,0,12,46
981,14.43000030517578,0,0,0,12,27
982,6.730000019073486,1,0,0,12,12
983,12.56999969482422,0,1,1,12,28
984,5.0,0,0,0,12,6
985,8.399999618530273,0,1,0,14,30
986,4.699999809265137,1,0,0,11,1
987,10.25,1,0,0,12,11
988,12.40999984741211,0,0,1,12,8
989,5.449999809265137,1,0,0,12,39
990,48.06999969482422,0,0,0,20,37
991,19.0,1,0,1,14,14
992,8.869999885559082,0,0,0,14,25
993,7.5,0,0,0,12,10
994,10.329999923706056,1,0,0,12,42
995,10.0,0,0,0,18,20
996,10.130000114440918,1,0,0,16,2
997,14.630000114440918,0,0,0,16,30
998,11.68000030517578,1,0,0,12,19
999,12.5,0,0,0,14,9
1000,6.920000076293945,1,0,0,11,28
1001,13.0,0,0,0,16,5
1002,11.770000457763672,0,0,1,12,36
1003,6.5,1,1,0,12,7
1004,17.75,0,0,0,18,9
1005,9.0,1,0,0,14,10
1006,13.0,1,0,0,12,33
1007,13.449999809265137,0,0,0,16,12
1008,11.0,1,0,0,12,21
1009,7.550000190734863,0,0,0,16,9
1010,7.0,1,0,0,12,27
1011,20.200000762939453,0,0,0,16,29
1012,16.350000381469727,0,0,1,12,34
1013,13.460000038146973,0,0,0,12,19
1014,12.5,0,0,0,12,29
1015,9.5,0,0,0,12,14
1016,20.18000030517578,0,0,0,18,17
1017,5.0,1,1,0,12,6
1018,5.25,1,0,0,12,6
1019,15.0,0,0,0,11,8
1020,4.25,0,0,0,16,16
1021,7.5,0,0,0,10,6
1022,15.0,0,0,0,12,34
1023,7.25,0,0,0,12,4
1024,18.0,0,0,1,12,6
1025,23.07999992370605,0,0,0,12,16
1026,9.979999542236328,0,0,0,12,16
1027,6.0,1,0,0,16,1
1028,6.349999904632568,1,0,0,12,21
1029,6.150000095367432,0,0,0,12,5
1030,13.0,0,0,1,12,21
1031,9.630000114440918,1,0,0,12,7
1032,14.399999618530272,1,0,0,12,18
1033,6.25,1,0,0,16,19
1034,10.93000030517578,1,0,0,12,17
1035,14.4399995803833,0,0,0,14,19
1036,6.0,0,0,0,12,5
1037,4.75,0,0,0,11,1
1038,22.76000022888184,0,0,0,16,14
1039,14.399999618530272,1,0,1,18,4
1040,5.75,1,1,0,16,18
1041,25.399999618530277,1,0,0,18,18
1042,15.75,1,0,0,12,9
1043,11.0,0,0,0,12,29
1044,6.0,1,0,1,12,3
1045,7.5,1,1,0,12,14
1046,13.699999809265137,0,1,0,14,27
1047,7.5,0,1,0,11,2
1048,7.199999809265137,1,1,0,12,16
1049,9.0,0,1,0,12,3
1050,17.0,0,0,1,12,38
1051,4.75,0,0,0,12,42
1052,5.599999904632568,0,0,0,12,7
1053,9.5600004196167,1,0,0,12,34
1054,12.199999809265137,0,0,1,12,21
1055,12.5,0,0,0,20,8
1056,27.200000762939453,0,0,1,16,23
1057,29.96999931335449,0,0,1,18,22
1058,9.0,0,0,0,18,36
1059,7.739999771118164,0,0,0,12,14
1060,22.21999931335449,1,0,1,20,4
1061,13.649999618530272,0,0,0,12,17
1062,4.849999904632568,1,0,0,12,2
1063,12.979999542236328,1,0,0,16,26
1064,5.0,1,0,0,12,38
1065,16.0,0,0,0,12,22
1066,11.25,1,0,0,16,4
1067,6.5,0,1,0,9,11
1068,6.199999809265137,1,0,0,12,1
1069,5.0,1,0,0,12,23
1070,6.940000057220459,1,0,0,11,22
1071,50.0,1,0,0,10,36
1072,10.84000015258789,0,0,0,12,11
1073,34.959999084472656,0,0,0,20,20
1074,5.900000095367432,1,1,0,12,13
1075,4.400000095367432,1,1,0,10,17
1076,6.0,0,0,0,12,22
1077,13.0,0,0,0,10,29
1078,5.699999809265137,1,0,0,11,1
1079,8.649999618530273,0,0,0,16,13
1080,7.449999809265137,1,0,0,12,30
1081,14.06999969482422,0,0,0,12,23
1082,6.0,0,0,0,14,3
1083,9.93000030517578,0,1,1,12,13
1084,12.199999809265137,1,1,0,16,33
1085,7.079999923706055,1,0,0,14,20
1086,8.979999542236328,1,0,0,12,16
1087,13.449999809265137,0,0,0,16,4
1088,5.75,1,0,0,12,5
1089,5.050000190734863,0,0,0,16,17
1090,13.199999809265137,1,0,0,16,15
1091,31.25,0,0,0,14,20
1092,5.75,0,0,0,11,5
1093,6.5,1,0,0,16,1
1094,6.25,1,1,1,14,17
1095,18.75,0,1,1,12,26
1096,5.300000190734863,1,1,0,12,20
1097,2.0799999237060547,1,1,0,12,9
1098,9.0,0,1,0,12,5
1099,11.75,0,0,0,16,10
1100,8.079999923706055,1,0,1,12,24
1101,9.0,0,0,0,12,18
1102,10.0,0,0,0,16,26
1103,7.699999809265137,0,0,0,12,6
1104,9.0,1,1,0,12,30
1105,8.0,0,1,1,12,6
1106,18.0,0,0,1,12,17
1107,11.25,0,1,1,12,9
1108,7.5,0,0,0,12,8
1109,7.0,1,1,0,10,37
1110,7.96999979019165,1,1,0,12,15
1111,8.6899995803833,1,0,0,12,21
1112,12.380000114440918,1,0,0,14,13
1113,18.96999931335449,0,0,0,12,14
1114,4.25,1,0,0,12,5
1115,11.0,1,0,0,14,27
1116,4.349999904632568,0,1,0,12,4
1117,5.5,1,0,0,12,37
1118,2.7799999713897705,1,0,0,0,40
1119,11.0,0,0,0,14,28
1120,10.699999809265137,1,0,0,12,12
1121,14.170000076293944,0,0,0,14,31
1122,4.75,1,0,0,0,39
1123,24.030000686645508,0,0,0,20,7
1124,8.0,1,0,0,14,3
1125,9.81999969482422,1,0,0,18,26
1126,3.839999914169312,1,0,0,16,27
1127,3.839999914169312,1,0,0,16,12
1128,6.909999847412109,0,0,0,12,24
1129,5.0,0,1,0,9,3
1130,15.0,0,0,0,12,24
1131,5.75,1,0,0,12,22
1132,13.800000190734863,1,0,0,12,8
1133,16.0,1,0,0,12,22
1134,11.25,0,1,0,16,4
1135,19.0,0,0,0,12,21
1136,9.5,1,0,0,12,17
1137,5.75,1,0,0,12,22
1138,9.5,1,0,1,12,10
1139,14.0,0,0,0,12,19
1140,19.229999542236328,0,0,0,7,32
1141,17.5,1,0,0,12,5
1142,10.0,1,0,0,12,13
1143,5.5,1,0,0,12,23
1144,7.0,1,1,0,12,4
1145,8.0,0,0,0,12,5
1146,7.0,1,0,0,16,11
1147,8.0,0,0,0,12,3
1148,4.25,1,1,0,12,23
1149,13.75,0,0,0,16,17
1150,11.0,0,1,0,12,15
1151,4.5,1,1,0,12,27
1152,7.5,0,0,0,12,16
1153,31.46999931335449,0,0,0,12,20
1154,8.0,1,0,0,12,30
1155,38.75,1,0,0,16,7
1156,9.25,0,0,0,12,21
1157,14.0,0,0,0,10,23
1158,8.0,0,0,0,12,13
1159,11.050000190734863,1,0,0,14,31
1160,7.0,1,0,0,12,25
1161,4.5,1,0,0,12,3
1162,6.400000095367432,1,0,0,16,1
1163,14.5,0,0,0,12,17
1164,5.0,1,0,0,12,16
1165,7.25,1,0,0,12,2
1166,10.0,1,0,1,12,19
1167,2.119999885559082,1,0,0,10,25
1168,6.900000095367432,1,0,0,12,19
1169,13.5,1,0,0,20,3
1170,2.900000095367432,1,0,1,12,23
1171,7.650000095367432,1,0,0,12,13
1172,15.0,1,0,0,18,35
1173,20.0,0,0,0,16,4
1174,7.699999809265137,1,0,0,12,21
1175,11.0,0,0,0,12,15
1176,7.0,1,0,0,12,16
1177,9.0,0,0,1,12,12
1178,7.690000057220459,0,0,0,12,12
1179,13.0,1,0,0,14,12
1180,8.4399995803833,1,0,0,12,32
1181,16.15999984741211,1,0,1,16,17
1182,12.0,1,0,0,18,3
1183,8.149999618530273,1,1,0,12,39
1184,6.96999979019165,1,0,1,9,32
1185,15.84000015258789,1,0,0,16,8
1186,11.5,0,0,0,12,16
1187,16.0,1,1,0,16,14
1188,14.5,1,1,1,16,23
1189,7.5,0,1,0,14,11
1190,8.520000457763672,1,0,0,10,16
1191,16.829999923706055,0,0,0,18,7
1192,7.949999809265137,1,0,0,11,33
1193,6.429999828338623,1,0,0,12,35
1194,6.0,1,1,0,12,35
1195,6.0,1,1,0,16,5
1196,9.109999656677246,1,0,0,12,3
1197,5.75,1,0,0,12,11
1198,17.329999923706055,1,0,0,12,26
1199,4.0,1,0,0,12,35
1200,11.0,0,0,0,12,35
1201,8.0,0,1,0,12,24
1202,6.0,1,0,0,16,2
1203,9.239999771118164,0,0,0,16,21
1204,8.100000381469727,0,0,0,12,13
1205,6.0,1,1,0,12,3
1206,9.0,1,1,0,12,9
1207,6.0,1,1,0,12,3
1208,9.0,1,1,1,12,19
1209,13.0,0,0,0,11,19
1210,4.5,1,1,0,12,21
1211,12.5,1,0,0,18,6
1212,8.329999923706055,0,0,0,18,30
1213,10.100000381469728,1,0,0,14,13
1214,11.0,0,0,0,12,6
1215,9.609999656677246,0,0,0,16,31
1216,5.0,1,0,0,12,10
1217,5.75,1,0,0,10,2
1218,4.329999923706055,0,0,0,18,7
1219,18.0,0,1,1,16,17
1220,10.0,0,0,1,12,24
1221,19.229999542236328,0,0,0,16,34
1222,18.0,1,1,1,16,9
1223,19.25,1,1,0,12,15
1224,17.5,0,0,1,12,16
1225,5.0,0,0,0,12,1
1226,18.280000686645508,1,0,0,16,9
1227,5.099999904632568,1,0,0,12,34
1228,8.0,1,0,0,16,1
1229,15.31999969482422,0,0,0,12,24
1230,5.25,1,0,0,12,9
1231,11.329999923706056,0,0,1,12,17
1232,20.25,0,0,0,16,22
1233,15.90999984741211,1,0,1,18,19
1234,14.0,0,0,0,12,30
1235,12.300000190734863,0,0,0,20,5
1236,14.0,0,0,1,12,18
1237,25.0,1,0,0,18,35
1238,4.800000190734863,1,0,0,10,35
1239,4.25,1,0,0,7,35
1240,10.0,0,0,0,10,32
1241,5.199999809265137,1,0,0,12,4
1242,9.0,0,0,0,14,6
1243,5.25,0,0,0,11,1
1244,12.0,1,0,0,12,19
1245,15.0,0,0,1,12,15
1246,10.4399995803833,1,0,0,14,10
1247,7.5,1,0,0,14,31
1248,6.0,0,0,0,12,1
1249,7.559999942779541,1,0,0,14,6
1250,8.0,1,0,0,12,6
1251,15.0,0,0,0,14,28
1252,18.0,0,0,0,12,28
1253,4.25,1,0,0,12,0
1254,6.0,0,0,0,12,37
1255,22.21999931335449,0,0,0,12,20
1256,6.0,1,0,0,12,16
1257,1.6699999570846558,0,0,0,16,10
1258,13.350000381469728,0,0,1,16,20
1259,10.5,0,0,0,12,12
1260,27.8799991607666,0,0,0,7,39
1261,5.25,1,0,0,12,5
1262,6.829999923706055,1,0,0,16,13
1263,14.75,0,1,0,12,23
1264,5.0,1,0,0,12,3
1265,4.0,1,0,0,12,14
1266,9.619999885559082,0,0,1,16,5
1267,12.0,0,0,0,12,10
1268,9.0,1,0,0,12,23
1269,5.0,1,1,0,10,38
1270,12.100000381469728,0,0,1,16,5
1271,12.0,0,0,0,12,23
1272,9.720000267028809,1,0,0,12,19
1273,12.979999542236328,0,0,0,12,45
1274,12.5,0,1,1,7,47
1275,10.0,0,1,1,12,18
1276,6.050000190734863,1,0,0,11,21
1277,10.850000381469728,1,1,0,12,27
1278,24.030000686645508,0,0,1,16,36
1279,15.8100004196167,1,0,0,12,12
1280,12.979999542236328,1,1,0,14,17
1281,2.130000114440918,1,0,0,12,10
1282,16.579999923706055,0,0,0,12,18
1283,21.450000762939453,0,0,0,16,27
1284,13.140000343322754,1,0,0,12,30
1285,1.6699999570846558,1,0,0,10,45
1286,7.0,0,0,0,12,7
1287,14.899999618530272,0,0,0,16,9
1288,5.900000095367432,1,0,0,12,31
1289,10.0,0,0,1,12,20
